inference-lb-1  | 172.18.0.1:51594 [23/Oct/2025:18:03:37.053] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52606 [23/Oct/2025:18:03:37.060] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51466 [23/Oct/2025:18:03:37.078] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52788 [23/Oct/2025:18:03:37.081] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52768 [23/Oct/2025:18:03:37.087] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52990 [23/Oct/2025:18:03:37.091] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52550 [23/Oct/2025:18:03:37.101] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51862 [23/Oct/2025:18:03:37.142] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51538 [23/Oct/2025:18:03:37.144] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51794 [23/Oct/2025:18:03:37.159] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52732 [23/Oct/2025:18:03:37.161] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52804 [23/Oct/2025:18:03:37.167] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51890 [23/Oct/2025:18:03:29.182] inference_fe inference_be/srv1 0/0/0/7824/7987 200 479 - - ---- 200/200/49/49/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52392 [23/Oct/2025:18:03:29.210] inference_fe inference_be/srv1 0/0/0/7817/7961 200 479 - - ---- 200/200/48/48/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52862 [23/Oct/2025:18:03:37.184] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/48/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:53080 [23/Oct/2025:18:03:37.189] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/48/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 127.0.0.1:37028 [23/Oct/2025:18:03:37.198] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 201/201/48/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.18.0.1:52120 [23/Oct/2025:18:03:37.204] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/48/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52576 [23/Oct/2025:18:03:29.315] inference_fe inference_be/srv1 0/0/0/7828/7903 200 479 - - ---- 200/200/47/47/0 0/0 "POST /predict HTTP/1.1"
